state,district,year,week_number,bottleneck_label,rationale,current_bio_updates,current_demo_updates,update_backlog,completion_rate,shap_explanation,top_feature
Andaman and Nicobar Islands,Nicobar,2026,1,NORMAL,No bottleneck indicators detected,-1,0,1,,Feature importance analysis pending,N/A
Assam,Tamulpur District,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Andaman & Nicobar Islands,Nicobars,2025,49,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Arunachal Pradesh,Dibang Valley,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Assam,Dima Hasao,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Chhatisgarh,Raipur,2025,50,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Chandigarh,Rupnagar,2025,52,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Chandigarh,Mohali,2025,52,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Arunachal Pradesh,Longding,2026,1,NORMAL,No bottleneck indicators detected,-1,-1,0,1.0,Feature importance analysis pending,N/A
Arunachal Pradesh,Siang,2026,1,NORMAL,No bottleneck indicators detected,-1,-1,0,1.0,Feature importance analysis pending,N/A
Arunachal Pradesh,Anjaw,2026,1,NORMAL,No bottleneck indicators detected,-1,-1,0,1.0,Feature importance analysis pending,N/A
Bihar,Lakhisarai,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.41),109,17,-92,6.411764705882353,Feature importance analysis pending,N/A
Andhra Pradesh,Mahabub Nagar,2026,1,CAPACITY_STRAIN,High child saturation (0.55); Bio updates declining week-over-week,-1,-1,0,1.0,Feature importance analysis pending,N/A
Bihar,Munger,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.24),89,21,-68,4.238095238095238,Feature importance analysis pending,N/A
Bihar,Purbi Champaran,2025,27,ANOMALY_DETECTED,Isolation Forest score: -0.061,0,0,0,,Feature importance analysis pending,N/A
Bihar,Jehanabad,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (5.67),68,12,-56,5.666666666666667,Feature importance analysis pending,N/A
Bihar,Arwal,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.26),52,23,-29,2.260869565217391,Feature importance analysis pending,N/A
Andhra Pradesh,Nizamabad,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,35,0,-35,,Feature importance analysis pending,N/A
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,-1,0,1,,Feature importance analysis pending,N/A
Arunachal Pradesh,Kra Daadi,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,-1,0,1,,Feature importance analysis pending,N/A
Bihar,Aurangabad(bh),2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,-1,0,1,,Feature importance analysis pending,N/A
Arunachal Pradesh,Lower Dibang Valley,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,-1,0,1,,Feature importance analysis pending,N/A
Chhattisgarh,Janjgir - Champa,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Bihar,Samstipur,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Bihar,Sheikpura,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Bihar,Monghyr,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Bihar,Purba Champaran,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Arunachal Pradesh,Shi-yomi,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Bihar,Bhabua,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Assam,West Karbi Anglong,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,-1,-1,0,1.0,Feature importance analysis pending,N/A
Arunachal Pradesh,Upper Subansiri,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,-1,-1,0,1.0,Feature importance analysis pending,N/A
Arunachal Pradesh,Upper Siang,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,-1,-1,0,1.0,Feature importance analysis pending,N/A
Arunachal Pradesh,Lower Siang,2026,1,DEMOGRAPHIC_SURGE,Bio updates 50%+ above 4-week average; Completion rate healthy (1.00),-1,-1,0,1.0,Feature importance analysis pending,N/A
Arunachal Pradesh,West Siang,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,-1,-1,0,1.0,Feature importance analysis pending,N/A
Arunachal Pradesh,East Siang,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,-1,-1,0,1.0,Feature importance analysis pending,N/A
Andhra Pradesh,Visakhapatanam,2025,22,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
BALANAGAR,IDPL COLONY,2025,50,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Chhattisgarh,Mungeli,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (16.35),376,23,-353,16.347826086956523,Feature importance analysis pending,N/A
Chhattisgarh,Narayanpur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (9.70),97,10,-87,9.7,Feature importance analysis pending,N/A
Chhattisgarh,Raigarh,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (15.07),422,28,-394,15.071428571428571,Feature importance analysis pending,N/A
Chhattisgarh,Raipur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (13.04),926,71,-855,13.04225352112676,Feature importance analysis pending,N/A
Chhattisgarh,Rajnandgaon,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.81),582,121,-461,4.809917355371901,Feature importance analysis pending,N/A
Chhattisgarh,Sakti,2026,1,NORMAL,No bottleneck indicators detected,-1,-1,0,1.0,Feature importance analysis pending,N/A
Chhattisgarh,Sarangarh-Bilaigarh,2026,1,OPERATIONAL_BOTTLENECK,Low completion rate (-0.03); Significant backlog (37); Bio/Demo ratio low (-0.03),-1,36,37,-0.0277777777777777,Feature importance analysis pending,N/A
Chhattisgarh,Sukma,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (13.80),138,10,-128,13.8,Feature importance analysis pending,N/A
Chhattisgarh,Surajpur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (12.12),315,26,-289,12.115384615384617,Feature importance analysis pending,N/A
Chhattisgarh,Surguja,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (9.28),492,53,-439,9.283018867924527,Feature importance analysis pending,N/A
Chhattisgarh,Uttar Bastar Kanker,2026,1,NORMAL,No bottleneck indicators detected,57,-1,-58,-57.0,Feature importance analysis pending,N/A
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2026,1,NORMAL,No bottleneck indicators detected,24,-1,-25,-24.0,Feature importance analysis pending,N/A
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2026,1,NORMAL,No bottleneck indicators detected,-1,0,1,,Feature importance analysis pending,N/A
Dadra and Nagar Haveli and Daman and Diu,Daman,2026,1,NORMAL,No bottleneck indicators detected,0,-1,-1,-0.0,Feature importance analysis pending,N/A
Dadra and Nagar Haveli and Daman and Diu,Diu,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Daman & Diu,Daman,2026,1,NORMAL,No bottleneck indicators detected,-1,0,1,,Feature importance analysis pending,N/A
Daman & Diu,Diu,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Daman and Diu,Daman,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,-1,-1,0,1.0,Feature importance analysis pending,N/A
Daman and Diu,Diu,2026,1,NORMAL,No bottleneck indicators detected,-1,0,1,,Feature importance analysis pending,N/A
Darbhanga,Near University Thana,2025,51,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Delhi,Central Delhi,2026,1,NORMAL,No bottleneck indicators detected,98,-1,-99,-98.0,Feature importance analysis pending,N/A
Delhi,East Delhi,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.76),287,37,-250,7.756756756756757,Feature importance analysis pending,N/A
Delhi,Najafgarh,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Delhi,New Delhi,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,13,0,-13,,Feature importance analysis pending,N/A
Delhi,North Delhi,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (3.59),122,34,-88,3.588235294117647,Feature importance analysis pending,N/A
Delhi,North East,2026,1,NORMAL,No bottleneck indicators detected,10,0,-10,,Feature importance analysis pending,N/A
Delhi,North East Delhi,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (11.42),377,33,-344,11.424242424242424,Feature importance analysis pending,N/A
Delhi,North West Delhi,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.32),549,75,-474,7.32,Feature importance analysis pending,N/A
Delhi,Shahdara,2026,1,NORMAL,No bottleneck indicators detected,-1,0,1,,Feature importance analysis pending,N/A
Delhi,South Delhi,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.74),333,43,-290,7.744186046511628,Feature importance analysis pending,N/A
Delhi,South East Delhi,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,-1,0,1,,Feature importance analysis pending,N/A
Delhi,South West Delhi,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.63),267,35,-232,7.628571428571429,Feature importance analysis pending,N/A
Delhi,West Delhi,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (5.11),271,53,-218,5.113207547169812,Feature importance analysis pending,N/A
Goa,Bardez,2025,52,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Goa,Bicholim,2025,52,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Goa,North Goa,2026,1,ANOMALY_DETECTED,Isolation Forest score: -0.004,132,-1,-133,-132.0,Feature importance analysis pending,N/A
Goa,South Goa,2026,1,ANOMALY_DETECTED,Isolation Forest score: -0.011,138,-1,-139,-138.0,Feature importance analysis pending,N/A
Goa,Tiswadi,2025,50,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Gujarat,Ahmadabad,2026,1,NORMAL,No bottleneck indicators detected,-1,-1,0,1.0,Feature importance analysis pending,N/A
Gujarat,Ahmedabad,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.33),480,206,-274,2.3300970873786406,Feature importance analysis pending,N/A
Gujarat,Amreli,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.57),92,14,-78,6.571428571428571,Feature importance analysis pending,N/A
Gujarat,Anand,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.59),112,17,-95,6.588235294117647,Feature importance analysis pending,N/A
Gujarat,Arvalli,2026,1,NORMAL,No bottleneck indicators detected,61,-1,-62,-61.0,Feature importance analysis pending,N/A
Gujarat,Banas Kantha,2026,1,DEMOGRAPHIC_SURGE,Bio updates 50%+ above 4-week average; Completion rate healthy (1.00),-1,-1,0,1.0,Feature importance analysis pending,N/A
Gujarat,Banaskantha,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.01),277,69,-208,4.0144927536231885,Feature importance analysis pending,N/A
Gujarat,Bharuch,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (3.29),115,35,-80,3.2857142857142856,Feature importance analysis pending,N/A
Gujarat,Bhavnagar,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.85),160,33,-127,4.848484848484849,Feature importance analysis pending,N/A
Gujarat,Botad,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.82),31,11,-20,2.8181818181818183,Feature importance analysis pending,N/A
Gujarat,Chhotaudepur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.25),36,16,-20,2.25,Feature importance analysis pending,N/A
Gujarat,Dahod,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (10.44),167,16,-151,10.4375,Feature importance analysis pending,N/A
Gujarat,Dang,2025,27,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Gujarat,Devbhumi Dwarka,2026,1,NORMAL,No bottleneck indicators detected,60,-1,-61,-60.0,Feature importance analysis pending,N/A
Gujarat,Dohad,2026,1,NORMAL,No bottleneck indicators detected,-1,-1,0,1.0,Feature importance analysis pending,N/A
Gujarat,Gandhinagar,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.75),77,28,-49,2.75,Feature importance analysis pending,N/A
Gujarat,Gir Somnath,2026,1,NORMAL,No bottleneck indicators detected,108,-1,-109,-108.0,Feature importance analysis pending,N/A
Gujarat,Jamnagar,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (3.29),112,34,-78,3.294117647058824,Feature importance analysis pending,N/A
Gujarat,Junagadh,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (3.48),160,46,-114,3.4782608695652173,Feature importance analysis pending,N/A
Gujarat,Kachchh,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (5.79),191,33,-158,5.787878787878788,Feature importance analysis pending,N/A
Gujarat,Kheda,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.97),149,30,-119,4.966666666666667,Feature importance analysis pending,N/A
Gujarat,Mahesana,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.76),127,46,-81,2.760869565217391,Feature importance analysis pending,N/A
Gujarat,Mahisagar,2026,1,NORMAL,No bottleneck indicators detected,68,-1,-69,-68.0,Feature importance analysis pending,N/A
Gujarat,Morbi,2026,1,NORMAL,No bottleneck indicators detected,47,-1,-48,-47.0,Feature importance analysis pending,N/A
Gujarat,Narmada,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.55),28,11,-17,2.5454545454545454,Feature importance analysis pending,N/A
Gujarat,Navsari,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.14),45,21,-24,2.142857142857143,Feature importance analysis pending,N/A
Gujarat,Panch Mahals,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,-1,0,1,,Feature importance analysis pending,N/A
Gujarat,Panchmahals,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.04),162,23,-139,7.043478260869565,Feature importance analysis pending,N/A
Gujarat,Patan,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.40),66,15,-51,4.4,Feature importance analysis pending,N/A
Gujarat,Porbandar,2026,1,NORMAL,No bottleneck indicators detected,44,-1,-45,-44.0,Feature importance analysis pending,N/A
Gujarat,Rajkot,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (3.73),194,52,-142,3.730769230769231,Feature importance analysis pending,N/A
Gujarat,Sabar Kantha,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Gujarat,Sabarkantha,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.79),95,34,-61,2.794117647058824,Feature importance analysis pending,N/A
Gujarat,Surat,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (3.17),368,116,-252,3.1724137931034484,Feature importance analysis pending,N/A
Gujarat,Surendra Nagar,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (10.60),106,10,-96,10.6,Feature importance analysis pending,N/A
Gujarat,Surendranagar,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,-1,0,1,,Feature importance analysis pending,N/A
Gujarat,Tapi,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.57),64,14,-50,4.571428571428571,Feature importance analysis pending,N/A
Gujarat,The Dangs,2026,1,NORMAL,No bottleneck indicators detected,24,-1,-25,-24.0,Feature importance analysis pending,N/A
Gujarat,Vadodara,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.11),313,44,-269,7.113636363636363,Feature importance analysis pending,N/A
Gujarat,Valsad,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.26),115,27,-88,4.25925925925926,Feature importance analysis pending,N/A
Haryana,Akhera,2025,45,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Haryana,Ambala,2026,1,NORMAL,No bottleneck indicators detected,115,-1,-116,-115.0,Feature importance analysis pending,N/A
Haryana,Bhiwani,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (12.08),145,12,-133,12.083333333333334,Feature importance analysis pending,N/A
Haryana,Charkhi Dadri,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.00),22,11,-11,2.0,Feature importance analysis pending,N/A
Haryana,Faridabad,2026,1,ANOMALY_DETECTED,Isolation Forest score: -0.052,291,-1,-292,-291.0,Feature importance analysis pending,N/A
Haryana,Fatehabad,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (8.30),83,10,-73,8.3,Feature importance analysis pending,N/A
Haryana,Gurgaon,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (9.56),258,27,-231,9.555555555555555,Feature importance analysis pending,N/A
Haryana,Gurugram,2025,27,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Haryana,Hisar,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (15.90),159,10,-149,15.9,Feature importance analysis pending,N/A
Haryana,Jhajjar,2026,1,NORMAL,No bottleneck indicators detected,111,0,-111,,Feature importance analysis pending,N/A
Haryana,Jind,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (16.58),199,12,-187,16.583333333333332,Feature importance analysis pending,N/A
Haryana,Kaithal,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (14.20),142,10,-132,14.2,Feature importance analysis pending,N/A
Haryana,Karnal,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (11.73),176,15,-161,11.733333333333333,Feature importance analysis pending,N/A
Haryana,Kurukshetra,2026,1,NORMAL,No bottleneck indicators detected,75,-1,-76,-75.0,Feature importance analysis pending,N/A
Haryana,Mahendragarh,2026,1,ANOMALY_DETECTED,Isolation Forest score: -0.029,161,-1,-162,-161.0,Feature importance analysis pending,N/A
Haryana,Mewat,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.55),190,29,-161,6.551724137931035,Feature importance analysis pending,N/A
Haryana,Nuh,2025,22,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Haryana,Palwal,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (10.93),164,15,-149,10.933333333333334,Feature importance analysis pending,N/A
Haryana,Panchkula,2026,1,NORMAL,No bottleneck indicators detected,65,-1,-66,-65.0,Feature importance analysis pending,N/A
Haryana,Panipat,2026,1,ANOMALY_DETECTED,Isolation Forest score: -0.003,126,-1,-127,-126.0,Feature importance analysis pending,N/A
Haryana,Rewari,2026,1,NORMAL,No bottleneck indicators detected,99,-1,-100,-99.0,Feature importance analysis pending,N/A
Haryana,Rohtak,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (8.73),96,11,-85,8.727272727272727,Feature importance analysis pending,N/A
Haryana,Sirsa,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (9.14),128,14,-114,9.142857142857142,Feature importance analysis pending,N/A
Haryana,Sonipat,2026,1,ANOMALY_DETECTED,Isolation Forest score: -0.024,151,-1,-152,-151.0,Feature importance analysis pending,N/A
Haryana,Yamuna Nagar,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (17.18),189,11,-178,17.181818181818183,Feature importance analysis pending,N/A
Haryana,Yamunanagar,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Himachal Pradesh,Bilaspur,2026,1,NORMAL,No bottleneck indicators detected,27,-1,-28,-27.0,Feature importance analysis pending,N/A
Himachal Pradesh,Chamba,2026,1,NORMAL,No bottleneck indicators detected,53,-1,-54,-53.0,Feature importance analysis pending,N/A
Himachal Pradesh,Hamirpur,2026,1,NORMAL,No bottleneck indicators detected,52,-1,-53,-52.0,Feature importance analysis pending,N/A
Himachal Pradesh,Kangra,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (18.75),225,12,-213,18.75,Feature importance analysis pending,N/A
Himachal Pradesh,Kinnaur,2026,1,NORMAL,No bottleneck indicators detected,-1,0,1,,Feature importance analysis pending,N/A
Himachal Pradesh,Kullu,2026,1,NORMAL,No bottleneck indicators detected,52,-1,-53,-52.0,Feature importance analysis pending,N/A
Himachal Pradesh,Lahaul and Spiti,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Himachal Pradesh,Lahul & Spiti,2026,1,NORMAL,No bottleneck indicators detected,0,-1,-1,-0.0,Feature importance analysis pending,N/A
Himachal Pradesh,Lahul and Spiti,2026,1,NORMAL,No bottleneck indicators detected,-1,0,1,,Feature importance analysis pending,N/A
Himachal Pradesh,Mandi,2026,1,NORMAL,No bottleneck indicators detected,78,-1,-79,-78.0,Feature importance analysis pending,N/A
Himachal Pradesh,Shimla,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.00),72,12,-60,6.0,Feature importance analysis pending,N/A
Himachal Pradesh,Sirmaur,2026,1,NORMAL,No bottleneck indicators detected,36,-1,-37,-36.0,Feature importance analysis pending,N/A
Himachal Pradesh,Solan,2026,1,NORMAL,No bottleneck indicators detected,67,-1,-68,-67.0,Feature importance analysis pending,N/A
Himachal Pradesh,Una,2026,1,NORMAL,No bottleneck indicators detected,64,-1,-65,-64.0,Feature importance analysis pending,N/A
Jaipur,Near meera hospital,2025,52,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu & Kashmir,Anantnag,2025,52,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu & Kashmir,Badgam,2025,52,NORMAL,No bottleneck indicators detected,-1,0,1,,Feature importance analysis pending,N/A
Jammu & Kashmir,Bandipur,2025,52,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu & Kashmir,Baramula,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu & Kashmir,Doda,2025,50,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu & Kashmir,Jammu,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu & Kashmir,Kargil,2025,52,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu & Kashmir,Kathua,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu & Kashmir,Kupwara,2025,52,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu & Kashmir,Leh (ladakh),2025,52,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu & Kashmir,Pulwama,2025,52,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu & Kashmir,Punch,2025,51,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu & Kashmir,Rajauri,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu & Kashmir,Srinagar,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu & Kashmir,Udhampur,2025,52,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu And Kashmir,Doda,2025,27,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu And Kashmir,Shopian,2025,27,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu and Kashmir,?,2025,47,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu and Kashmir,Anantnag,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (12.72),585,46,-539,12.717391304347826,Feature importance analysis pending,N/A
Jammu and Kashmir,Badgam,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (1.44),26,18,-8,1.4444444444444444,Feature importance analysis pending,N/A
Jammu and Kashmir,Bandipore,2026,1,NORMAL,No bottleneck indicators detected,187,0,-187,,Feature importance analysis pending,N/A
Jammu and Kashmir,Bandipur,2025,49,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Jammu and Kashmir,Baramula,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.33),198,27,-171,7.333333333333333,Feature importance analysis pending,N/A
Jammu and Kashmir,Budgam,2026,1,NORMAL,No bottleneck indicators detected,105,-1,-106,-105.0,Feature importance analysis pending,N/A
Jammu and Kashmir,Doda,2026,1,NORMAL,No bottleneck indicators detected,106,-1,-107,-106.0,Feature importance analysis pending,N/A
Jammu and Kashmir,Ganderbal,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (14.30),143,10,-133,14.3,Feature importance analysis pending,N/A
